NAME NODE;CPU (cores);MEMORY (bytes);ACTIVE PODS;TASK;PARAMETER;EXECUTION START TIME (seconds)
cs-modeling1;1979m;2139Mi;5;2;5;17616
cs-modeling1;1968m;2254Mi;5;3;2;17684
cs-modeling1;1064m;1019Mi;1;3;4;17745
cs-modeling1;1799m;1540Mi;2;1;3;17811
cs-modeling1;1696m;1036Mi;2;2;5;17878
cs-modeling1;1980m;1060Mi;3;3;5;17945
cs-modeling1;1999m;1258Mi;4;3;1;18008
cs-modeling1;1005m;1020Mi;1;3;3;18075
cs-modeling1;1927m;1145Mi;2;3;3;18142
cs-modeling1;1962m;1344Mi;2;2;1;18209
cs-modeling1;1945m;1058Mi;2;1;4;18277
cs-modeling1;1370m;1059Mi;2;2;4;18338
cs-modeling1;1074m;1033Mi;1;3;4;18403
cs-modeling1;1834m;1412Mi;2;2;2;18469
cs-modeling1;1980m;1554Mi;3;3;3;18536
cs-modeling1;1999m;1445Mi;3;1;3;18605
cs-modeling1;287m;1021Mi;1;3;4;18666
cs-modeling1;1738m;1537Mi;2;2;4;18732
cs-modeling1;1851m;1039Mi;2;2;2;18800
cs-modeling1;1973m;1076Mi;3;1;4;18867
cs-modeling1;1429m;1025Mi;2;1;1;18928
cs-modeling1;1265m;1026Mi;1;3;1;18994
cs-modeling1;1719m;1041Mi;1;2;3;19061
cs-modeling1;1916m;1077Mi;2;2;3;19127
cs-modeling1;2001m;1081Mi;3;1;2;19193
cs-modeling1;533m;1021Mi;1;3;1;19254
cs-modeling1;679m;1022Mi;1;1;4;19319
cs-modeling1;1791m;1045Mi;2;1;1;19385
cs-modeling1;2001m;1069Mi;3;2;3;19452
cs-modeling1;948m;1024Mi;3;2;3;19514
cs-modeling1;1783m;1043Mi;1;1;5;19580
cs-modeling1;1986m;1098Mi;2;3;1;19646
cs-modeling1;1977m;1060Mi;2;1;4;19714
